item,current_path,decision,target_owner,dependencies,tests,docs,notes
render_diff_view,crates/jackin-tui/src/components/diff_view.rs:323,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_diff_view(frame: &mut Frame<'_>, area: Rect, state: &mut DiffViewState) {"
diff_view_hint_spans,crates/jackin-tui/src/components/diff_view.rs:361,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn diff_view_hint_spans() -> Vec<crate::HintSpan<'static>> {
ErrorPopupAction,crates/jackin-tui/src/components/error_dialog.rs:23,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ErrorPopupAction {
ERROR_POPUP_KEYMAP,crates/jackin-tui/src/components/error_dialog.rs:50,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub static ERROR_POPUP_KEYMAP: Keymap<ErrorPopupAction> = Keymap::new(ERROR_POPUP_BINDINGS);
error_popup_hint_spans,crates/jackin-tui/src/components/error_dialog.rs:53,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn error_popup_hint_spans() -> Vec<HintSpan<'static>> {
ErrorPopupRow,crates/jackin-tui/src/components/error_dialog.rs:58,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ErrorPopupRow {
new,crates/jackin-tui/src/components/error_dialog.rs:69,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(label: &'static str, value: impl Into<String>) -> Self {"
hyperlink,crates/jackin-tui/src/components/error_dialog.rs:81,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink(mut self, href: impl Into<String>) -> Self {"
badge,crates/jackin-tui/src/components/error_dialog.rs:87,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn badge(mut self, badge: impl Into<String>) -> Self {"
fn,crates/jackin-tui/src/components/error_dialog.rs:93,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn highlighted(mut self, highlighted: bool) -> Self {"
fn,crates/jackin-tui/src/components/error_dialog.rs:99,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn strong(mut self, strong: bool) -> Self {"
ErrorPopupState,crates/jackin-tui/src/components/error_dialog.rs:106,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ErrorPopupState {
new,crates/jackin-tui/src/components/error_dialog.rs:116,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn new(title: impl Into<String>, message: impl Into<String>) -> Self {"
with_rows,crates/jackin-tui/src/components/error_dialog.rs:127,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn with_rows(mut self, rows: Vec<ErrorPopupRow>) -> Self {"
handle_key,crates/jackin-tui/src/components/error_dialog.rs:133,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<()> {"
row_value_rects,crates/jackin-tui/src/components/error_dialog.rs:141,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn row_value_rects(&self, inner: Rect) -> Vec<Rect> {"
row_value_rect_groups,crates/jackin-tui/src/components/error_dialog.rs:146,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn row_value_rect_groups(&self, inner: Rect) -> Vec<Vec<Rect>> {"
estimated_message_rows,crates/jackin-tui/src/components/error_dialog.rs:152,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn estimated_message_rows(state: &ErrorPopupState, inner_width: u16) -> u16 {"
required_height,crates/jackin-tui/src/components/error_dialog.rs:185,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn required_height(state: &ErrorPopupState, inner_width: u16, max_rows: u16) -> u16 {"
render_error_dialog,crates/jackin-tui/src/components/error_dialog.rs:191,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_error_dialog(frame: &mut ratatui::Frame<'_>, area: Rect, state: &ErrorPopupState) {"
render_error_dialog_in,crates/jackin-tui/src/components/error_dialog.rs:198,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_error_dialog_in(frame: &mut ratatui::Frame<'_>, area: Rect, state: &ErrorPopupState) {"
row_value_rects,crates/jackin-tui/src/components/error_dialog.rs:326,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn row_value_rects(inner: Rect, state: &ErrorPopupState) -> Vec<Rect> {"
row_value_rect_groups,crates/jackin-tui/src/components/error_dialog.rs:334,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn row_value_rect_groups(inner: Rect, state: &ErrorPopupState) -> Vec<Vec<Rect>> {"
hyperlink_regions,crates/jackin-tui/src/components/error_dialog.rs:391,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink_regions(inner: Rect, state: &ErrorPopupState) -> Vec<(Rect, String)> {"
hyperlink_overlay,crates/jackin-tui/src/components/error_dialog.rs:406,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hyperlink_overlay(inner: Rect, state: &ErrorPopupState) -> Vec<u8> {"
FilterInput,crates/jackin-tui/src/components/filter_input.rs:15,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct FilterInput<'a> {
fn,crates/jackin-tui/src/components/filter_input.rs:21,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(filter: &'a str) -> Self {
filter_input_line,crates/jackin-tui/src/components/filter_input.rs:33,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn filter_input_line(filter: &str) -> Line<'static> {
render_filter_input,crates/jackin-tui/src/components/filter_input.rs:54,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_filter_input(frame: &mut ratatui::Frame<'_>, area: Rect, filter: &str) {"
ButtonFocus,crates/jackin-tui/src/components/focus_owner.rs:18,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub trait ButtonFocus: Copy + Eq + 'static {
FocusOwner,crates/jackin-tui/src/components/focus_owner.rs:52,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum FocusOwner<Tab> {
fn,crates/jackin-tui/src/components/focus_owner.rs:62,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn is_tab_bar(self) -> bool {
fn,crates/jackin-tui/src/components/focus_owner.rs:67,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn is_content(self) -> bool {
content_tab,crates/jackin-tui/src/components/focus_owner.rs:72,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn content_tab(self) -> Option<Tab> {
panel_focus_for,crates/jackin-tui/src/components/focus_owner.rs:84,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn panel_focus_for<F: PartialEq<Tab>>(self, tab: &F) -> PanelFocus {"
show_cursor_for,crates/jackin-tui/src/components/focus_owner.rs:93,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn show_cursor_for<F: PartialEq<Tab>>(self, tab: &F) -> bool {"
HintBar,crates/jackin-tui/src/components/hint_bar.rs:15,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct HintBar<'a> {
fn,crates/jackin-tui/src/components/hint_bar.rs:22,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new(spans: &'a [HintSpan<'a>]) -> Self {
fn,crates/jackin-tui/src/components/hint_bar.rs:30,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn wrapped(mut self) -> Self {
render_hint_bar,crates/jackin-tui/src/components/hint_bar.rs:52,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_hint_bar(frame: &mut ratatui::Frame<'_>, area: Rect, spans: &[HintSpan<'_>]) {"
render_wrapped_hint_bar,crates/jackin-tui/src/components/hint_bar.rs:56,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_wrapped_hint_bar(frame: &mut ratatui::Frame<'_>, area: Rect, spans: &[HintSpan<'_>]) {"
line,crates/jackin-tui/src/components/hint_bar.rs:61,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn line(spans: &[HintSpan<'_>]) -> Line<'static> {
styled_hint_spans,crates/jackin-tui/src/components/hint_bar.rs:70,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn styled_hint_spans(
wrapped_height,crates/jackin-tui/src/components/hint_bar.rs:95,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn wrapped_height(spans: &[HintSpan<'_>], width: u16) -> u16 {"
wrapped_lines,crates/jackin-tui/src/components/hint_bar.rs:100,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn wrapped_lines(spans: &[HintSpan<'_>], width: u16) -> Vec<Line<'static>> {"
HoverTracker,crates/jackin-tui/src/components/hover_tracker.rs:33,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct HoverTracker<K: Clone + PartialEq> {
new,crates/jackin-tui/src/components/hover_tracker.rs:39,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new() -> Self {
clear,crates/jackin-tui/src/components/hover_tracker.rs:46,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn clear(&mut self) {
register,crates/jackin-tui/src/components/hover_tracker.rs:51,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn register(&mut self, rect: Rect, key: K) {"
hovered,crates/jackin-tui/src/components/hover_tracker.rs:59,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn hovered(&self, col: u16, row: u16) -> Option<&K> {"
is_hovered,crates/jackin-tui/src/components/hover_tracker.rs:74,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn is_hovered(&self, col: u16, row: u16, key: &K) -> bool {"
pick_style,crates/jackin-tui/src/components/hover_tracker.rs:83,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn pick_style<S: Clone>(&self, col: u16, row: u16, key: &K, hover: S, resting: S) -> S {"
any_hovered,crates/jackin-tui/src/components/hover_tracker.rs:96,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn any_hovered(&self, col: u16, row: u16) -> bool {"
ModalBackdrop,crates/jackin-tui/src/components/modal_backdrop.rs:17,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ModalBackdrop;
ModalStack,crates/jackin-tui/src/components/modal_lifecycle.rs:25,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct ModalStack<M> {
fn,crates/jackin-tui/src/components/modal_lifecycle.rs:38,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new() -> Self {
from_current,crates/jackin-tui/src/components/modal_lifecycle.rs:46,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn from_current(current: M) -> Self {
from_parts,crates/jackin-tui/src/components/modal_lifecycle.rs:54,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn from_parts(current: Option<M>, parents: Vec<M>) -> Self {"
into_parts,crates/jackin-tui/src/components/modal_lifecycle.rs:59,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn into_parts(self) -> (Option<M>, Vec<M>) {"
fn,crates/jackin-tui/src/components/modal_lifecycle.rs:64,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn current(&self) -> Option<&M> {
current_mut,crates/jackin-tui/src/components/modal_lifecycle.rs:69,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn current_mut(&mut self) -> Option<&mut M> {
parents,crates/jackin-tui/src/components/modal_lifecycle.rs:74,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn parents(&self) -> &[M] {
parents_mut,crates/jackin-tui/src/components/modal_lifecycle.rs:79,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn parents_mut(&mut self) -> &mut Vec<M> {
fn,crates/jackin-tui/src/components/modal_lifecycle.rs:84,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn is_open(&self) -> bool {
has_parent,crates/jackin-tui/src/components/modal_lifecycle.rs:89,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn has_parent(&self) -> bool {
depth,crates/jackin-tui/src/components/modal_lifecycle.rs:94,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn depth(&self) -> usize {
open,crates/jackin-tui/src/components/modal_lifecycle.rs:99,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn open(&mut self, modal: M) {"
open_sub,crates/jackin-tui/src/components/modal_lifecycle.rs:105,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn open_sub(&mut self, child: M) {"
pop,crates/jackin-tui/src/components/modal_lifecycle.rs:113,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn pop(&mut self) {
dismiss_current,crates/jackin-tui/src/components/modal_lifecycle.rs:119,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn dismiss_current(&mut self) {
clear_chain,crates/jackin-tui/src/components/modal_lifecycle.rs:124,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn clear_chain(&mut self) {
take_current,crates/jackin-tui/src/components/modal_lifecycle.rs:129,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn take_current(&mut self) -> Option<M> {
render_backdrop,crates/jackin-tui/src/components/modal_lifecycle.rs:136,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_backdrop(frame: &mut Frame<'_>, full_area: Rect) {"
ModalClickResult,crates/jackin-tui/src/components/modal_lifecycle.rs:142,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ModalClickResult {
classify_click,crates/jackin-tui/src/components/modal_lifecycle.rs:155,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn classify_click(modal_rect: Rect, col: u16, row: u16) -> ModalClickResult {"
ModalRectSpec,crates/jackin-tui/src/components/modal_rects.rs:11,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ModalRectSpec {
ModalRectMode,crates/jackin-tui/src/components/modal_rects.rs:67,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ModalRectMode {
modal_rect_for_mode,crates/jackin-tui/src/components/modal_rects.rs:135,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn modal_rect_for_mode(outer: Rect, mode: ModalRectMode) -> Rect {"
modal_rect,crates/jackin-tui/src/components/modal_rects.rs:140,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn modal_rect(outer: Rect, spec: ModalRectSpec) -> Rect {"
text_input_rect,crates/jackin-tui/src/components/modal_rects.rs:217,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn text_input_rect(outer: Rect) -> Rect {
source_picker_rect,crates/jackin-tui/src/components/modal_rects.rs:222,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn source_picker_rect(outer: Rect) -> Rect {
scope_picker_rect,crates/jackin-tui/src/components/modal_rects.rs:227,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scope_picker_rect(outer: Rect) -> Rect {
op_picker_rect,crates/jackin-tui/src/components/modal_rects.rs:232,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn op_picker_rect(outer: Rect) -> Rect {
role_picker_rect_for_count,crates/jackin-tui/src/components/modal_rects.rs:237,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn role_picker_rect_for_count(outer: Rect, filtered_len: usize) -> Rect {"
confirm_rect,crates/jackin-tui/src/components/modal_rects.rs:243,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn confirm_rect(outer: Rect, state: &crate::components::ConfirmState) -> Rect {"
mount_choice_rect,crates/jackin-tui/src/components/modal_rects.rs:252,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn mount_choice_rect(outer: Rect) -> Rect {
auth_form_rect_for_height,crates/jackin-tui/src/components/modal_rects.rs:265,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn auth_form_rect_for_height(outer: Rect, required_height: u16) -> Rect {"
centered_rect_fixed,crates/jackin-tui/src/components/modal_rects.rs:272,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn centered_rect_fixed(outer: Rect, pct_w: u16, rows: u16) -> Rect {"
centered_rect_preferred,crates/jackin-tui/src/components/modal_rects.rs:281,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn centered_rect_preferred(outer: Rect, preferred_w: u16, rows: u16) -> Rect {"
centered_rect_exact,crates/jackin-tui/src/components/modal_rects.rs:288,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn centered_rect_exact(outer: Rect, width: u16, height: u16) -> Rect {"
PanelFocus,crates/jackin-tui/src/components/panel.rs:15,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum PanelFocus {
Panel,crates/jackin-tui/src/components/panel.rs:31,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct Panel<'a> {
fn,crates/jackin-tui/src/components/panel.rs:38,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn new() -> Self {
fn,crates/jackin-tui/src/components/panel.rs:46,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn title(mut self, title: &'a str) -> Self {"
fn,crates/jackin-tui/src/components/panel.rs:52,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn focus(mut self, focus: PanelFocus) -> Self {"
block,crates/jackin-tui/src/components/panel.rs:58,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn block(self) -> Block<'a> {
panel_body_area,crates/jackin-tui/src/components/panel.rs:84,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn panel_body_area(block: &Block<'_>, area: ratatui::layout::Rect) -> ratatui::layout::Rect {"
modal_block,crates/jackin-tui/src/components/panel.rs:105,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn modal_block<'a>() -> Block<'a> {
unfocused_block,crates/jackin-tui/src/components/panel.rs:121,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn unfocused_block<'a>() -> Block<'a> {
SaveDiscardChoice,crates/jackin-tui/src/components/save_discard_dialog.rs:21,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum SaveDiscardChoice {
SaveDiscardAction,crates/jackin-tui/src/components/save_discard_dialog.rs:27,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum SaveDiscardAction {
SAVE_DISCARD_KEYMAP,crates/jackin-tui/src/components/save_discard_dialog.rs:107,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub static SAVE_DISCARD_KEYMAP: Keymap<SaveDiscardAction> = Keymap::new(SAVE_DISCARD_BINDINGS);
save_discard_hint_spans,crates/jackin-tui/src/components/save_discard_dialog.rs:110,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn save_discard_hint_spans() -> Vec<HintSpan<'static>> {
SaveDiscardFocus,crates/jackin-tui/src/components/save_discard_dialog.rs:115,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum SaveDiscardFocus {
SaveDiscardState,crates/jackin-tui/src/components/save_discard_dialog.rs:126,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub struct SaveDiscardState {
new,crates/jackin-tui/src/components/save_discard_dialog.rs:134,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn new(prompt: impl Into<String>) -> Self {
handle_key,crates/jackin-tui/src/components/save_discard_dialog.rs:141,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn handle_key(&mut self, key: KeyEvent) -> ModalOutcome<SaveDiscardChoice> {"
render_save_discard_dialog,crates/jackin-tui/src/components/save_discard_dialog.rs:164,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn render_save_discard_dialog(frame: &mut Frame<'_>, area: Rect, state: &SaveDiscardState) {"
SCROLLBAR_TRACK,crates/jackin-tui/src/components/scrollable_panel.rs:26,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const SCROLLBAR_TRACK: &str = ""·"";"
SCROLLBAR_HORIZONTAL_THUMB,crates/jackin-tui/src/components/scrollable_panel.rs:31,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const SCROLLBAR_HORIZONTAL_THUMB: &str = ""━"";"
ScrollbarStyle,crates/jackin-tui/src/components/scrollable_panel.rs:37,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub enum ScrollbarStyle {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:49,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn vertical_thumb(self) -> &'static str {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:57,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn viewport_width(area: Rect) -> usize {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:61,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn viewport_height(area: Rect) -> usize {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:65,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn max_offset(content_len: usize, viewport: usize) -> u16 {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:69,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn is_scrollable(content_len: usize, viewport: usize) -> bool {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:73,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn effective_offset(content_len: usize, viewport: usize, offset: u16) -> u16 {"
fn,crates/jackin-tui/src/components/scrollable_panel.rs:77,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn clamp_scroll_offset(content_len: usize, viewport: usize, offset: &mut u16) -> u16 {"
cursor_follow_offset,crates/jackin-tui/src/components/scrollable_panel.rs:81,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn cursor_follow_offset(
scrollbar_offset_for_track_position,crates/jackin-tui/src/components/scrollable_panel.rs:108,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn scrollbar_offset_for_track_position(
fn,crates/jackin-tui/src/components/scrollable_panel.rs:118,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const fn apply_scroll_delta_unclamped(value: &mut u16, delta: i16) {"
apply_scroll_delta,crates/jackin-tui/src/components/scrollable_panel.rs:122,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn apply_scroll_delta(value: &mut u16, delta: i16, viewport: usize, content_len: usize) {"
apply_term_width_scroll_delta,crates/jackin-tui/src/components/scrollable_panel.rs:126,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn apply_term_width_scroll_delta(
line_width,crates/jackin-tui/src/components/scrollable_panel.rs:140,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn line_width(line: &Line<'_>) -> usize {
render_line_with_fixed_prefix_scroll,crates/jackin-tui/src/components/scrollable_panel.rs:147,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn render_line_with_fixed_prefix_scroll(
max_line_width,crates/jackin-tui/src/components/scrollable_panel.rs:198,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn max_line_width(lines: &[Line<'_>]) -> usize {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:219,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn horizontal_scrollbar_area(block_area: Rect) -> Rect {
fn,crates/jackin-tui/src/components/scrollable_panel.rs:228,parameterize,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn vertical_scrollbar_area(block_area: Rect) -> Rect {
